country_code,name,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
901000,More developed regions,814818913,864429512.0000001,916344412,966624193.9999999,1008451909.9999999,1048416226.0000002,1083125601,1114763001.9999998,1145507680,1169481474,1188359407.0000002,1209215036.0000002,1234767515.9999995,1256622188,1273304261.0000005
902000,Less developed regions,1721612105,1908590403,2118605302.9999998,2372959315.9999995,2691985131.9999995,3031064248.0000005,3374877864.9999995,3756158664,4181723360.9999995,4574731455.999999,4955134399,5332691920.000001,5722056072.000001,6123174778.999999,6521494467.999999
941000,Least developed countries,195427784.99999997,215486293,240518397,270720935,306916897.99999994,345242741.00000006,390612543.99999994,443491299,506275626,579681702,657215853.9999999,744190509.0000001,836614840.9999998,941131317,1057438163.0000001
934000,Other less developed countries,1526184319.9999998,1693104109.9999998,1878086906.0000002,2102238380.9999995,2385068234.0000005,2685821507,2984265321.0000005,3312667364.9999995,3675447735,3995049753.9999995,4297918545,4588501411.000002,4885441230.999999,5182043461.999999,5464056305
948000,"Less developed regions, excluding China",1157420006,1284496755.9999995,1444107258.9999995,1632168748.0000002,1845364170,2083907835.9999993,2351776348.9999995,2655695386,2978289405.9999995,3305985141,3635583003.9999995,3971957379,4322553373.000002,4684981353.000001,5050207589.000002
1636000,Land-locked Developing Countries (LLDC),103803462,115488177,130210231.99999999,147627743.00000003,167054846.00000003,188250846.0000001,209112911.99999994,234235215.99999997,265852001.99999997,298698476.99999994,333947033,374684857.99999994,420661371,473816858,533143398.00000006
1637000,Small Island Developing States (SIDS),23771120,26248781.000000004,29188016.000000004,32595494,35868046,39260210.99999999,42471239,46031701.99999999,49807705,53802264.00000001,57613590.999999985,61044547.999999985,65253137,68855520,72076098
1503000,High-income countries,694989106,738928605,787158229.9999998,836545330,880845620.9999999,924282549.0000002,963431384,1001046880,1038455421,1075966453,1112318334.0000002,1151594876,1197095041.0000002,1233934650,1263092934
1517000,Middle-income countries,1703596496.0000002,1883962076,2080780919,2315967485,2607460629.0000005,2914555439,3221987819,3561445875,3936198975.0000005,4261803632,4567891009,4860123817.000002,5153738177.999999,5460515586.999999,5753051615
1502000,Upper-middle-income countries,938930867.0000001,1042795683.0000002,1144055207,1265536210.0000002,1428300048,1589857226.9999998,1731254574,1881154742.0000002,2056240366,2181157417.9999995,2285144582,2376344606.9999995,2466363506,2566519306,2654816331
1501000,Lower-middle-income countries,764665629,841166392.9999999,936725712,1050431274.9999999,1179160580.9999998,1324698212.0000002,1490733244.9999998,1680291133,1879958609.0000002,2080646214.0000002,2282746426.999999,2483779210.0000005,2687374671.9999995,2893996280.9999995,3098235284
1500000,Low-income countries,137041865.00000003,149213767,165954459,185870726.00000003,210778276,239242401,271057725.9999999,306762094,350700961,404386607.9999999,461020981,527685617.9999999,603339579.0000001,682575699,775710611.9999999
1518000,No income group available,803550.9999999999,915467,1056107.0000000005,1199969,1352515.9999999998,1400085,1526537,1666817,1875684.0000000002,2056237,2263482,2502645.0000000005,2650790,2771031.0000000005,2943568
910000,Eastern Africa,66144565,73975375.99999999,83558158.99999999,95372726,109682256,126465038,146488368.00000003,169887493.00000003,197168372,223934244,257353350.99999994,295185413.00000006,339317850,389671295,445405578
108000,Burundi,2308926.9999999995,2537150,2797925,3094377.9999999995,3479070,3700878.999999999,4157296.0000000005,4750832,5438959,5987044.000000001,6378870.999999999,7364857,8675606.000000002,10160034,11890781
174000,Comoros,159458.99999999997,175906,191122,207429.00000000003,230055,257284.99999999997,307830.99999999994,355337.0000000001,411598,475394,542358,611625,689695.9999999999,777435,869595
262000,Djibouti,62000.000000000015,69593.00000000001,83634,114976,159662,224177.00000000003,358960.00000000006,425608,590393,630384.9999999998,717577,783247.9999999998,840194.0000000001,913998,988002.0000000001
232000,Eritrea,822346.9999999998,899745.9999999999,1007586,1148187.9999999998,1310946.9999999998,1505437.9999999998,1733422.9999999998,2003942,2258649,2204227,2292412.9999999995,2826653.0000000005,3170437,3342818,3546427
231000,Ethiopia,18128030.000000004,19947291,22151284,25013634,28415079.999999996,32566854.999999996,35141703,40652145.99999999,47887864,57047906,66224808.99999999,76346310.00000001,87639962.00000001,100835453.00000001,114963583.00000001
404000,Kenya,6076757.000000001,6987658.000000001,8120082,9530163,11301394,13575897.999999998,16417203.000000006,19877078.000000004,23724574.000000004,27768297,31964557,36624897,42030684.00000001,47878339.00000002,53771299.99999999
450000,Madagascar,4083548,4543540.000000001,5099367.999999998,5769215.000000001,6576305.000000002,7556032,8716549,10063492.999999998,11598647,13475403.000000002,15766805.999999998,18336721.999999996,21151640,24234080,27691019
454000,Malawi,2953871.0000000005,3270545,3659979.9999999995,4134464.000000001,4703782.999999999,5384798.000000001,6250433.999999999,7268271.000000001,9404499,9844418,11148751,12625950.000000002,14539609.000000004,16745305,19129955
480000,Mauritius,493257.99999999994,570649.9999999999,660025.0000000001,753282.9999999999,826450.9999999999,892218.9999999999,966039,1015763.9999999999,1055868.9999999998,1128675.9999999995,1185147,1222010.0000000002,1247952.9999999998,1259456.9999999998,1271766.9999999998
175000,Mayotte,15138.000000000002,18994,24016,30520.000000000004,36964,45479.99999999999,55136,72108,94779,123186,150331,178103.00000000003,208716,240011,272813
